Product URL,Product Name,Image URL,Discounted Price,Full Price,Discount %,Description,Sizes,DiscountPercentage
https://in.puma.com/in/en/pd/slipstream-bball-sneakers/404692?swatch=03,Slipstream Bball Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/404692/03/sv01/fnd/IND/fmt/png/Slipstream-Bball-Sneakers",7999.0,7999,0%,"Classic aesthetics and modern sneakerhead style come together in our Slipstream Bball Sneakers. Crafted with a perforated leather upper and contrast accents, these sneakers exude a clean yet refined vibe that's sure to turn heads. The zoned rubber outsole provides exceptional traction and durability, perfect for both on and off-court style. Heel type: Flat Shoe width: Regular fit Heel-to-toe-drop: 0 mm Shoe pronation: Neutral Low boot construction Leather upper Leather vamp and vamp overlay Zoned Rubber outsole Synthetic leather quarter panel and eyestay PUMA Formstrip on lateral side Lace closure","('UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11')",0.0
https://in.puma.com/in/en/pd/hyperglide-x-fusionlite-everyday-running-shoes/311813?swatch=02,Hyperglide X FusionLite Everyday Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311813/02/sv01/fnd/IND/fmt/png/Hyperglide-X-FusionLite-Everyday-Running-Shoes",3149.0,6999,-55%,"Blending modern aesthetics with day-long wearability, these road runners are your go-to for everything from early morning jogs to on-the-go errands. With a streamlined silhouette, breathable materials, and next-level comfort underfoot, this pair fits right into your active lifestyle. Style them with performance tights or streetwear staples for an effortlessly cool look, whether you’re on the track or the town. PUMALite Foam: Offers lightweight cushioning with added rebound for smooth transitions. SOFTFOAM+: Step-in comfort that lasts, for a smooth and cushioned ride. Zoned Rubber: Outsole grip adds traction and enhances durability for everyday wear. Fit: Regular Fastener: Laces Heel Type: Flat Built for a running distance of upto 800 km Ideal for Road running Textile upper Rubber outsole","('UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10')",55.007858265466496
https://in.puma.com/in/en/pd/accelerate-nitro-sqd-indoor-shoes/109258?swatch=01,Accelerate NITRO™ SQD Indoor Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109258/01/sv01/fnd/IND/fmt/png/Accelerate-NITRO™-SQD-Indoor-Shoes",12999.0,12999,0%,"Built for the fastest plays, the Accelerate NITRO SQD indoor shoes deliver explosive speed with dual-density NITRO cushioning and unstoppable grip. PWRTAPE support locks you in for every cut and turn, while the 3D heel and stability cage keep you steady through every game-changing move. NITRO SQD: Dual-density cushioning for rebound and support PWRTAPE: Targeted reinforcement for stability in quick directional shifts ORTHOLITE®: Provides step-in comfort and long-lasting cushioning PUMAGRIP: Maximum traction for agility and acceleration Fit: Regular Closure: Laces Material: Textile upper with synthetic stability cage Heel: 3D molded heel for lockdown fit Outsole: Flat, rounded indoor sole for high-performance grip","('UK 3', 'UK 4', 'UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10', 'UK 11')",0.0
https://in.puma.com/in/en/pd/foreverrun-nitro-2-womens-running-shoes/310471?swatch=16,ForeverRun NITRO™ 2 Women's Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310471/16/sv01/fnd/IND/fmt/png/ForeverRun-NITRO™-2-Women's-Running-Shoes",14999.0,14999,0%,"Her run starts with focus and ends with fire. Engineered mesh breathes with her pace, the dual-density NITROFOAM™ cushions every push, and the TPU heel clip keeps her grounded, even when the miles stack up. Built to guide, support, and energize, this pair is for the runners who lead from the front and never look back. NITROFOAM™: Plush, responsive cushioning with firm outer guidance RUN GUIDE SYSTEM: TPU heel clip and dual-density foam guide each stride PUMAGRIP: Durable rubber for multi-surface traction Recycled Materials: Upper made with at least 30% recycled content Design: Low boot Closure: Laces Upper Material: Engineered mesh textile Midsole: Dual-density NITROFOAM™ Outsole: PUMAGRIP rubber Heel Type: Flat Shoe Width: Regular Toe Type: Rounded Drop: 10mm Stack Height: 38mm (heel) / 28mm (forefoot) Logo: PUMA Cat logo on tongue and heel Formstrip: TPU Formstrip on lateral side","('UK 3.5', 'UK 4', 'UK 4.5', 'UK 5', 'UK 5.5', 'UK 6', 'UK 6.5', 'UK 7', 'UK 8')",0.0
https://in.puma.com/in/en/pd/king-ultimate-fg-ag-womens-football-boots/107869?swatch=02,KING ULTIMATE FG/AG Women's Football Boots,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/107869/02/sv01/fnd/IND/fmt/png/KING-ULTIMATE-FG/AG-Women's-Football-Boots",9999.0,19999,-50%,"Let everyone know: there's a new KING in town. This football boot lives up to its name with the combination of non-animal-based K-BETTER™ upper material and GripControl 3D structure on the medial side for enhanced ball control and a touch that's fit for a KING. The rightful heir is here. K-BETTER™: Better without leather. Non-animal-based K-BETTER™ upper material for a new and improved take on the signature KING touch, comfort, and durability GripControl 3D: ribbed structure for enhanced ball control The upper of this shoe is made with at least 30% recycled materials Heel type: Flat Shoe width: Regular fit Shoe pronation: Neutral Heel-to-toe-drop: 0 mm K-BETTER™ upper Lightweight removable sockliner with NanoGrip technology keeps the foot from slipping inside the boot OrthoLite® memory foam padding in the heel for improved comfort Lightweight outsole with external heel counter, integrated stability spine, and conical studs for maximum manoeuvrability Women's Fit: This football boot is made for the female player, with measurements such as volume and instep height engineered for the female foot Knitted low-cut slip-on construction ensures a comfortable fit FG/AG: Firm ground/Artificial ground outsole","('UK 3', 'UK 3.5', 'UK 4', 'UK 4.5', 'UK 5', 'UK 5.5', 'UK 6', 'UK 7', 'UK 7.5', 'UK 8', 'UK 8.5')",50.00250012500625
https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=07,Palermo Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402692/07/sv01/fnd/IND/fmt/png/Palermo-Sneakers",6999.0,6999,0%,"Straight from the archives, it’s the PUMA Palermo. Combining comfort with style, this classic terrace shoe builds on PUMA’s heritage within football, while appealing to today’s sneakerheads and fashion mavens. This execution features a leather base with a suede Formstrip and overlays. Designed for effortless versatility, it’s the perfect blend of retro style and modern appeal that complements any outfit. ORTHOLITE®: Provides step-in comfort and long-lasting cushioning Leather base Suede Formstrip, T-toe and heel overlay Synthetic tongue, eyestay and quarter panel underlay Debossed PUMA branding on tongue Printed PUMA branding on quarter panel flap Screen printed PUMA branding on FOT","('UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 9', 'UK 10', 'UK 11', 'UK 12')",0.0
https://in.puma.com/in/en/pd/softride-premier-glideknit-walking-shoes/312706?swatch=03,Softride Premier GlideKnit Walking Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/312706/03/sv01/fnd/IND/fmt/png/Softride-Premier-GlideKnit-Walking-Shoes",5499.0,5499,0%,"Slide into comfort and style with the Softride Premier shoes. Designed with a sleek one-piece knit upper, it hugs your foot for a snug fit while keeping things light and breathable. The cushioned midsole softens every stride, and a padded collar locks you in with ease. Built for those who live on the move, it’s a blend of slip-on convenience and all-day comfort. SOFTRIDE: Soft, lightweight cushioning that provides all-day comfort Closure: Slip-on construction Upper: One-piece engineered knit for style and snug fit Collar: Padded comfort collar for secure lockdown Midsole: SOFTRIDE cushioning for a plush ride Outsole: Rubber for durability and traction Branding: PUMA Formstrip on lateral side","('UK 6', 'UK 7', 'UK 8', 'UK 9', 'UK 10')",0.0
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=09,Palermo Classic Comfort Low Boot Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/09/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers",5599.0,6999,-20%,"The Palermo brings back the timeless appeal of a terrace classic with a vintage silhouette and premium materials. Combining suede and leather details with retro PUMA branding, this sneaker seamlessly blends sports heritage with street style. Perfect for everyday wear, it honors PUMA’s legacy while delivering lasting comfort and style. ORTHOLITE®: Provides step-in comfort and long-lasting cushioning Material: Suede & Leather Tongue: Suede with mesh backing Lining: Synthetic leather Sockliner: Synthetic leather Fit: Regular Heel Type: Flat Fastener: Laces Toe Type: Rounded Profile: Low Boot","('UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7', 'UK 8')",20.002857551078726
https://in.puma.com/in/en/pd/future-7-ultimate-fg-ag-womens-football-boots/107917?swatch=03,FUTURE 7 ULTIMATE FG/AG Women's Football Boots,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/107917/03/sv01/fnd/IND/fmt/png/FUTURE-7-ULTIMATE-FG/AG-Women's-Football-Boots",9999.0,19999,-50%,"Playmakers, lock into the FUTURE. These boots feature a re-engineered upper which combines PWRPRINT and PWRTAPE with extra stretchy knit and soft dual mesh for a next-generation adaptive fit. The Dynamic Motion System provides traction and agility for quick cuts and changes of pace. When you wear the FUTURE, you are the FUTURE. Go create. FUZIONFIT360: combines engineered dual mesh, extra stretchy knit, PWRPRINT, and 2 layers of PWRTAPE for a snug, supportive fit and absolute freedom of movement PWRTAPE: Targeted upper reinforcement for support and durability Dynamic Motion System: this super lightweight outsole is designed to provide freedom of movement and enhanced multidirectional traction thanks to its advanced stud configuration The upper of this shoe is made with at least 20% recycled materials FUZIONFIT360 upper with PWRPRINT and PWRTAPE: for freedom of movement and a snug, supportive fit Lightweight removable sockliner with NanoGrip technology keeps the foot from slipping inside the boot Micro-perforated heel padding keeps the heel locked in and comfortable Dynamic Motion System outsole Women's Fit: This football boot is made for women, with measurements such as volume and instep height engineered for the female foot Can be worn with or without laces FG/AG: Suitable for use on both firm natural surfaces and artificial grass (4G)","('UK 3', 'UK 3.5', 'UK 4', 'UK 4.5', 'UK 5', 'UK 5.5', 'UK 6.5', 'UK 7.5', 'UK 8.5')",50.00250012500625
https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=06,Court Shatter Low Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399844/06/sv01/fnd/IND/fmt/png/Court-Shatter-Low-Sneakers",5999.0,5999,0%,"These kicks are all about clean court styling with a modern twist. Featuring a perforated upper for breathability and a low-top design for that classic look, they're perfect for dominating that casual street style. With their sleek silhouette and lacing for a secure fit, these sneakers are a must-have for any sneakerhead looking to up their game. Heel type: Flat Shoe width: Regular fit Heel-to-toe-drop: 0 mm Shoe pronation: Neutral Low boot Synthetic upper EVA outsole Low-cut collar for easy daily wear PUMA Formstrip on lateral side PUMA Wordmark at tongue","('UK 3', 'UK 4', 'UK 5', 'UK 6', 'UK 7')",0.0
