Product URL,Product Name,Image URL,Discounted Price,Full Price,Description,Sizes,Rating,Review Count
https://in.puma.com/in/en/pd/adelina-womens-ballerina-shoes/395002?swatch=04,Adelina Women's Ballerina Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395002/04/sv01/fnd/IND/fmt/png/Adelina-Women's-Ballerina-Shoes","₹2,199","₹3,999",,,,
https://in.puma.com/in/en/pd/softride-sophia-2-womens-slip-on-shoes/311886?swatch=04,Softride Sophia 2 Women's Slip-On Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311886/04/sv01/fnd/IND/fmt/png/Softride-Sophia-2-Women's-Slip-On-Shoes",N/A,"₹5,499",,,,
https://in.puma.com/in/en/pd/softride-sophia-2-womens-slip-on-shoes/311886?swatch=03,Softride Sophia 2 Women's Slip-On Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311886/03/sv01/fnd/IND/fmt/png/Softride-Sophia-2-Women's-Slip-On-Shoes",N/A,"₹5,499",,,,
https://in.puma.com/in/en/pd/softride-sophia-2-womens-slip-on-shoes/311886?swatch=01,Softride Sophia 2 Women's Slip-On Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311886/01/sv01/fnd/IND/fmt/png/Softride-Sophia-2-Women's-Slip-On-Shoes","₹3,849","₹5,499",,,,
https://in.puma.com/in/en/pd/softride-sophia-2-womens-slip-on-shoes/311886?swatch=02,Softride Sophia 2 Women's Slip-On Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311886/02/sv01/fnd/IND/fmt/png/Softride-Sophia-2-Women's-Slip-On-Shoes","₹3,569","₹5,499",,,,
https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=01,Court Shatter Low Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399844/01/sv01/fnd/IND/fmt/png/Court-Shatter-Low-Sneakers","₹3,179","₹5,999",,,,
https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=02,Court Shatter Low Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399844/02/sv01/fnd/IND/fmt/png/Court-Shatter-Low-Sneakers","₹3,179","₹5,999",,,,
https://in.puma.com/in/en/pd/club-kayzer-superior-cushioning-casual-shoes/402603?swatch=01,Club Kayzer Superior Cushioning Casual Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402603/01/sv01/fnd/IND/fmt/png/Club-Kayzer-Superior-Cushioning-Casual-Shoes","₹3,299","₹5,499",,,,
https://in.puma.com/in/en/pd/palermo-classic-comfort-low-boot-sneakers/402693?swatch=06,Palermo Classic Comfort Low Boot Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402693/06/sv01/fnd/IND/fmt/png/Palermo-Classic-Comfort-Low-Boot-Sneakers","₹5,599","₹6,999",,,,
https://in.puma.com/in/en/pd/court-shatter-low-sneakers/399844?swatch=04,Court Shatter Low Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399844/04/sv01/fnd/IND/fmt/png/Court-Shatter-Low-Sneakers","₹3,179","₹5,999",,,,
https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=03,Softride Pro 24 V Slides,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401121/03/sv01/fnd/IND/fmt/png/Softride-Pro-24-V-Slides",N/A,"₹3,799",,,,
https://in.puma.com/in/en/pd/smashic-comfort-casual-sneakers/394371?swatch=01,Smashic Comfort Casual Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/394371/01/sv01/fnd/IND/fmt/png/Smashic-Comfort-Casual-Sneakers","₹2,339","₹4,499",,,,
https://in.puma.com/in/en/pd/ca-pro-classic-leather-sneakers/402538?swatch=05,CA Pro Classic Leather Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402538/05/sv01/fnd/IND/fmt/png/CA-Pro-Classic-Leather-Sneakers","₹5,599","₹7,999",,,,
https://in.puma.com/in/en/pd/x-ray-2-square-retro-style-sneakers/402200?swatch=14,X-Ray 2 Square Retro Style Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402200/14/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Retro-Style-Sneakers","₹3,999","₹7,999",,,,
https://in.puma.com/in/en/pd/smashic-comfort-casual-sneakers/394371?swatch=02,Smashic Comfort Casual Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/394371/02/sv01/fnd/IND/fmt/png/Smashic-Comfort-Casual-Sneakers","₹2,339","₹4,499",,,,
https://in.puma.com/in/en/pd/royalcat-memory-foam-womens-slides/396060?swatch=01,Royalcat Memory Foam Women's Slides,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/396060/01/sv01/fnd/IND/fmt/png/Royalcat-Memory-Foam-Women's-Slides",N/A,"₹3,299",,,,
https://in.puma.com/in/en/pd/carina-slim-perf-womens-sneakers/395829?swatch=02,Carina Slim Perf Women's Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/395829/02/sv01/fnd/IND/fmt/png/Carina-Slim-Perf-Women's-Sneakers","₹2,469","₹4,499",,,,
https://in.puma.com/in/en/pd/x-ray-2-square-retro-style-sneakers/402200?swatch=05,X-Ray 2 Square Retro Style Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402200/05/sv01/fnd/IND/fmt/png/X-Ray-2-Square-Retro-Style-Sneakers","₹3,999","₹7,999",,,,
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=01,Badminton Smash Sprint Indoor Sports Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/01/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes","₹2,599","₹4,999",,,,
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=02,Badminton Smash Sprint Indoor Sports Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/02/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes","₹2,599","₹4,999",,,,
https://in.puma.com/in/en/pd/badminton-smash-sprint-indoor-sports-shoes/109304?swatch=04,Badminton Smash Sprint Indoor Sports Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/109304/04/sv01/fnd/IND/fmt/png/Badminton-Smash-Sprint-Indoor-Sports-Shoes","₹2,599","₹4,999",,,,
https://in.puma.com/in/en/pd/softride-pro-echo-consonance-womens-running-shoes/310913?swatch=02,Softride Pro Echo Consonance Women's Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/310913/02/sv01/fnd/IND/fmt/png/Softride-Pro-Echo-Consonance-Women's-Running-Shoes",N/A,"₹5,999",,,,
https://in.puma.com/in/en/pd/softride-pro-24-v-slides/401121?swatch=01,Softride Pro 24 V Slides,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/401121/01/sv01/fnd/IND/fmt/png/Softride-Pro-24-V-Slides","₹2,659","₹3,799",,,,
https://in.puma.com/in/en/pd/hyperglide-x-fusionlite-everyday-running-shoes/311813?swatch=03,Hyperglide X FusionLite Everyday Running Shoes,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/311813/03/sv01/fnd/IND/fmt/png/Hyperglide-X-FusionLite-Everyday-Running-Shoes","₹3,149","₹6,999",,,,
https://in.puma.com/in/en/pd/palermo-sneakers/402692?swatch=01,Palermo Sneakers,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/402692/01/sv01/fnd/IND/fmt/png/Palermo-Sneakers",N/A,"₹6,999",,,,
